timespan,reg,finish
20190614 00:00:00-23:59:59,4,4
20190615 00:00:00-23:59:59,2,1
20190616 00:00:00-23:59:59,1,1
20190617 00:00:00-23:59:59,49,37
20190618 00:00:00-23:59:59,79421,24644
20190619 00:00:00-23:59:59,72846,22290
20190620 00:00:00-23:59:59,34121,13215
20190621 00:00:00-23:59:59,22281,10853
20190622 00:00:00-23:59:59,30935,15119
20190623 00:00:00-23:59:59,46298,18723
20190624 00:00:00-23:59:59,126993,24423
20190625 00:00:00-23:59:59,108249,18700
20190626 00:00:00-23:59:59,56761,16362
20190627 00:00:00-23:59:59,45940,11969
20190628 00:00:00-23:59:59,39323,10462
20190629 00:00:00-23:59:59,53064,15833
20190630 00:00:00-23:59:59,54742,14927
20190701 00:00:00-23:59:59,2101,1018
20190702 00:00:00-23:59:59,1884,706
20190703 00:00:00-23:59:59,1754,670
20190704 00:00:00-23:59:59,1664,641
20190705 00:00:00-23:59:59,1649,649
20190706 00:00:00-23:59:59,1967,832
20190707 00:00:00-23:59:59,1794,734
20190708 00:00:00-23:59:59,1143,449
20190709 00:00:00-23:59:59,1146,462
20190710 00:00:00-23:59:59,1000,434
20190711 00:00:00-23:59:59,232,97
